point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
86591:60:3:4::::Затхлино:Затхлино:в Затхлино
86592:60:3:4::::Кривоносово:Кривоносово:в Кривоносово
86593:60:3:4::::Рыжево:Рыжево:в Рыжево
86594:60:3:4::::Слабнево:Слабнево:в Слабнево
86595:60:3:4::::Артемьево:Артемьево:в Артемьево
86596:60:3:4::::Федорково:Федорково:в Федорково
86597:56:3:4::::Бурино (п.):Бурино:в Бурино
86598:60:3:4::::Запрудново:Запрудново:в Запрудново
86599:60:3:4::::Клочково:Клочково:в Клочково
86600:60:3:4::::Зименки:Зименки:в Зименках
86601:60:3:4::::Кондратцево:Кондратцево:в Кондратцево
86602:56:3:4::::Сеньково:Сеньково:в Сеньково
86603:60:3:4::::Мазалово:Мазалово:в Мазалово
86604:60:3:4::::Маклаково:Маклаково:в Маклаково
86605:60:3:4::::Якушево:Якушево:в Якушево
86606:60:3:4::::Зеленый Бор:Зеленый Бор:в Зеленом Бору
86607:60:3:4::::Перевесново:Перевесново:в Перевесново
86608:60:3:4::::Крапивново:Крапивново:в Крапивново
86609:60:3:4::::Чащево:Чащево:в Чащево
86610:60:3:4::::Илейкино:Илейкино:в Илейкино
86611:60:3:4::::Волокобино:Волокобино:в Волокобино
86612:60:3:4::::Ряполово:Ряполово:в Ряполово
86613:60:3:4::::Медвежье:Медвежье:в Медвежье
86614:60:3:4::::Костюхино:Костюхино:в Костюхино
86615:60:3:4::::Тименка:Тименка:в Тименке
86616:60:3:4::::Борисовка:Борисовка:в Борисовке
86617:60:3:4::::Пестово (Тименский сельсовет):Пестово:в Пестово
86618:60:3:4::::Хмельники:Хмельники:в Хмельниках
86619:60:3:4::::Иваново-Ильино:Иваново-Ильино:в Иваново-Ильино
86620:60:3:4::::Ломки:Ломки:в Ломках
86621:60:3:4::::Артемово:Артемово:в Артемово
86622:60:3:4::::Себерна:Себерна:в Себерне
86623:60:3:4::::Польки:Польки:в Польках
86624:60:3:4::::Красноармейское:Красноармейское:в Красноармейском
86625:60:3:4::::Векино:Векино:в Векино
86626:60:3:4::::Центральный:Центральный:в Центральном
86627:60:3:4::::Василево:Василево:в Василево
86628:8:2:6::::Брусиловка:Брусиловка:в Брусиловке
86629:60:3:4::::Студенцы:Студенцы:в Студенцах
86630:60:3:4::::Фоминское:Фоминское:в Фоминском
86631:56:3:4::::Зобищи:Зобищи:в Зобищах
86632:60:3:4::::Гнездилово:Гнездилово:в Гнездилово
86633:60:3:4::::Грезино:Грезино:в Грезино
86634:60:3:4::::Дудино:Дудино:в Дудино
86635:60:3:4::::Дьяково:Дьяково:в Дьяково
86636:60:3:4::::Выселиха:Выселиха:в Выселихе
86637:60:3:4::::Михалево (Семейкинский сельсовет):Михалево:в Михалево
86638:60:3:4::::Гумнищи:Гумнищи:в Гумнищах
86639:60:3:4::::Федотово:Федотово:в Федотово
86640:60:3:4::::Абрамово:Абрамово:в Абрамово
86641:60:3:4::::Марково:Марково:в Марково
86642:60:3:4::::Клещевка:Клещевка:в Клещевке
86643:60:3:4::::Сергеево:Сергеево:в Сергеево
86644:60:3:4::::Новая:Новая:в Новой
86645:60:3:4::::Орлово:Орлово:в Орлово
86646:56:3:4::::Игуменцево:Игуменцево:в Игуменцево
86647:60:3:4::::Черняткино:Черняткино:в Черняткино
86648:60:3:4::::Матюкино:Матюкино:в Матюкино
86649:60:3:4::::Новоселки:Новоселки:в Новоселках
86650:60:3:4::::Бурдинка:Бурдинка:в Бурдинке
86651:60:3:4::::Хрулево:Хрулево:в Хрулево
86652:60:3:4::::Выставка:Выставка:в Выставке
86653:60:3:4::::Киселево:Киселево:в Киселево
86654:60:3:4::::Смертино:Смертино:в Смертино
86655:60:3:4::::Куракино:Куракино:в Куракино
86656:60:3:4::::Барышки:Барышки:в Барышках
86657:60:3:4::::Маланьино:Маланьино:в Маланьино
86658:60:3:4::::Дерягино:Дерягино:в Дерягино
86659:60:3:4::::Воробино:Воробино:в Воробино
86660:60:3:4::::Кузнечиха:Кузнечиха:в Кузнечихе
86661:60:3:4::::Шалимово:Шалимово:в Шалимово
86662:60:3:4::::Киверниково:Киверниково:в Киверниково
86663:60:3:4::::Овсяницы:Овсяницы:в Овсяницах
86664:60:3:4::::Клетино:Клетино:в Клетино
86665:60:3:4::::Пахотино:Пахотино:в Пахотино
86666:56:3:4::::Нагуево:Нагуево:в Нагуево
86667:60:3:4::::Роглово:Роглово:в Роглово
86668:56:3:4::::Седельниково:Седельниково:в Седельниково
86669:60:3:4::::Харитоново:Харитоново:в Харитоново
86670:60:3:4::::Плехово:Плехово:в Плехово
86671:60:3:4::::Семеново:Семеново:в Семеново
86672:60:3:4::::Максимцево:Максимцево:в Максимцево
86673:60:3:4::::Максимиха:Максимиха:в Максимихе
86674:60:3:4::::Паршигино:Паршигино:в Паршигино
86675:60:3:4::::Севастьяново:Севастьяново:в Севастьяново
86676:60:3:4::::Ивашково:Ивашково:в Ивашково
86677:60:3:4::::Арефино:Арефино:в Арефино
86678:60:3:4::::Милюковка:Милюковка:в Милюковке
86679:60:3:4::::Банево:Банево:в Банево
86680:60:3:4::::Баламутово:Баламутово:в Баламутово
86681:60:3:4::::Княжево:Княжево:в Княжево
86682:60:3:4::::Камешково:Камешково:в Камешково
86683:60:3:4::::Алешево:Алешево:в Алешево
86684:60:3:4::::Остапово:Остапово:в Остапово
86685:60:3:4::::Косячево:Косячево:в Косячево
86686:60:3:4::::Змеево:Змеево:в Змеево
86687:60:3:4::::Семейкино:Семейкино:в Семейкино
86688:60:3:4::::Филино:Филино:в Филино
86689:60:3:4::::Якиманна:Якиманна:в Якиманне
86690:60:3:4::::Анфимово:Анфимово:в Анфимово
86691:60:3:4::::Юркино:Юркино:в Юркино
86692:60:3:4::::Трутнево:Трутнево:в Трутнево
86693:60:3:4::::Брылиха:Брылиха:в Брылихе
86694:60:3:4::::Палкино:Палкино:в Палкино
86695:60:3:4::::Горяново:Горяново:в Горяново
86696:60:3:4::::Русилово:Русилово:в Русилово
86697:60:3:4::::Арефино:Арефино:в Арефино
86698:60:3:4::::Хозниково:Хозниково:в Хозниково
86699:60:3:4::::Житково:Житково:в Житково
86700:60:3:4::::Афанасово (Хозниковский сельсовет):Афанасово:в Афанасово
86701:60:3:4::::Праслово:Праслово:в Праслово
86702:60:3:4::::Якимово:Якимово:в Якимово
86703:60:3:4::::Пальмицыно:Пальмицыно:в Пальмицыно
86704:60:3:4::::Стромихино:Стромихино:в Стромихино
86705:60:3:4::::Самсоново:Самсоново:в Самсоново
86706:60:3:4::::Шульгино:Шульгино:в Шульгино
86707:60:3:4::::Михалицы:Михалицы:в Михалицах
86708:60:3:4::::Петрилово:Петрилово:в Петрилово
86709:60:3:4::::Слободка:Слободка:в Слободке
86710:60:3:4::::Иванцево:Иванцево:в Иванцево
86711:60:3:4::::Кочнево:Кочнево:в Кочнево
86712:60:3:4::::Филатовка:Филатовка:в Филатовке
86713:60:3:4::::Павлюково:Павлюково:в Павлюково
86714:60:3:4::::Афанасьевское:Афанасьевское:в Афанасьевском
86715:60:3:4::::Кудряково:Кудряково:в Кудряково
86716:60:3:4::::Леньково:Леньково:в Леньково
86717:60:3:4::::Дорки Большие:Дорки Большие:в Дорках-Больших
86718:60:3:4::::Пустошь:Пустошь:в Пустоши
86719:60:3:4::::Потанино:Потанино:в Потанино
86720:60:3:4::::Дорки Малые:Дорки Малые:в Дорках-Малых
86721:60:3:4::::Мокеиха:Мокеиха:в Мокеихе
86722:60:3:4::::Новая:Новая:в Новой
86723:60:3:4::::Раменье:Раменье:в Раменье
86724:60:3:4::::Понькино:Понькино:в Понькино
86725:60:3:4::::Лужки:Лужки:в Лужках
86726:60:3:4::::Ломы:Ломы:в Ломах
86727:60:3:4::::Красное:Красное:в Красном
86728:60:3:4::::Беликово:Беликово:в Беликово
86729:60:3:4::::Мухино:Мухино:в Мухино
86730:60:3:4::::Подолино:Подолино:в Подолино
86731:60:3:4::::Анютино:Анютино:в Анютино
86732:60:3:4::::Мелешино:Мелешино:в Мелешино
86733:60:3:4::::Зименки:Зименки:в Зименках
86734:60:3:4::::Прудово:Прудово:в Прудово
86735:60:3:4::::Фомино:Фомино:в Фомино
86736:60:3:4::::Иваньково:Иваньково:в Иваньково
86737:60:3:4::::Лукино:Лукино:в Лукино
86738:60:3:4::::Богатищи:Богатищи:в Богатищах
86739:60:3:4::::Крутцы:Крутцы:в Крутцах
86740:60:3:4::::Зубиха:Зубиха:в Зубихе
86741:60:3:4::::Теличново:Теличново:в Теличново
86742:60:3:4::::Погорелка:Погорелка:в Погорелке
86743:60:3:4::::Еремкино:Еремкино:в Еремкино
86744:60:3:4::::Гари:Гари:в Гарях
86745:60:3:4::::Летнево:Летнево:в Летнево
86746:60:3:4::::Тепляково:Тепляково:в Тепляково
86747:60:3:4::::Вихрево:Вихрево:в Вихрево
86748:60:3:4::::Авдеево:Авдеево:в Авдеево
86749:60:3:4::::Михалково:Михалково:в Михалково
86750:60:3:4::::Кузнецово:Кузнецово:в Кузнецово
86751:60:3:4::::Жизнево:Жизнево:в Жизнево
86752:60:3:4::::Аистово:Аистово:в Аистово
86753:60:3:4::::Литвинцево:Литвинцево:в Литвинцево
86754:60:3:4::::Чижово:Чижово:в Чижово
86755:56:3:4::::Воронино:Воронино:в Воронино
86756:60:3:4::::Прилив:Прилив:в Приливе
86757:60:3:4::::Одинцово:Одинцово:в Одинцово
86758:60:3:4::::Перемилово:Перемилово:в Перемилово
86759:60:3:4::::Стяжково:Стяжково:в Стяжково
86760:60:3:4::::Елизарово:Елизарово:в Елизарово
86761:60:3:4::::Высоково (Китовский сельсовет):Высоково:в Высоково
86762:60:3:4::::Китово:Китово:в Китово
86763:60:3:4::::Фатьяново:Фатьяново:в Фатьяново
86764:60:3:4::::Трясцыно:Трясцыно:в Трясцыно
86765:60:3:4::::Поповское:Поповское:в Поповском
86766:60:3:4::::Захарово:Захарово:в Захарово
86767:60:3:4::::Иваньково:Иваньково:в Иваньково
86768:56:3:4::::Синяткино:Синяткино:в Синяткино
86769:60:3:4::::Вятчинки:Вятчинки:в Вятчинках
86770:60:3:4::::Манульцево:Манульцево:в Манульцево
86771:60:3:4::::Сальцево:Сальцево:в Сальцево
86772:60:3:4::::Антониха:Антониха:в Антонихе
86773:60:3:4::::Тимошкино:Тимошкино:в Тимошкино
86774:60:3:4::::Андреево:Андреево:в Андреево
86775:60:3:4::::Дубынино:Дубынино:в Дубынино
86776:60:3:4::::Дубники:Дубники:в Дубниках
86777:60:3:4::::Бурмакино:Бурмакино:в Бурмакино
86778:60:3:4::::Кожевницы:Кожевницы:в Кожевницах
86779:60:3:4::::Теплово:Теплово:в Теплово
86780:60:3:4::::Жирохово:Жирохово:в Жирохово
86781:60:3:4::::Родионцово:Родионцово:в Родионцово
86782:60:3:4::::Лодышкино:Лодышкино:в Лодышкино
86783:60:3:4::::Ярумино:Ярумино:в Ярумино
86784:60:3:4::::Волгасиха:Волгасиха:в Волгасихе
86785:60:3:4::::Желтоносово:Желтоносово:в Желтоносово
86786:60:3:4::::Власьево:Власьево:во Власьево
86787:60:3:4::::Декрино:Декрино:в Декрино
86788:60:3:4::::Семиново:Семиново:в Семиново
86789:60:3:4::::Иваково:Иваково:в Иваково
86790:60:3:4::::Коровино:Коровино:в Коровино
86791:60:3:4::::Сенниково:Сенниково:в Сенниково
86792:60:3:4::::Пантелеево:Пантелеево:в Пантелеево
86793:56:3:4::::Захаровка:Захаровка:в Захаровке
