point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
347799:3232:151::Faust:Faust:in Faust:::
347800:3232:151::Flatbush:Flatbush:in Flatbush:::
347801:3232:151::Fox Lake:Fox Lake:in Fox Lake:::
347802:3232:151::Gift Lake:Gift Lake:in Gift Lake:::
347803:3232:151::Grouard:Grouard:in Grouard:::
347804:3232:151::Gundy:Gundy:in Gundy:::
347805:3232:151::Hines Creek:Hines Creek:in Hines Creek:::
347806:3232:151::Hondo:Hondo:in Hondo:::
347807:3232:151::Hotchkiss:Hotchkiss:in Hotchkiss:::
347808:3232:151::John d`or Prairie:John d`or Prairie:in John d`or Prairie:::
347809:3232:151::Joussard:Joussard:in Joussard:::
347810:3232:151::Keg River:Keg River:in Keg River:::
347811:3232:151::Kinuso:Kinuso:in Kinuso:::
347812:3232:151::Marie Reine:Marie Reine:in Marie Reine:::
347813:3232:151::Meander River:Meander River:in Meander River:::
347814:3232:151::Nampa:Nampa:in Nampa:::
347815:3232:151::North Star:North Star:in North Star:::
347816:3232:151::Notikewin:Notikewin:in Notikewin:::
347817:3232:151::Paddle Prairie:Paddle Prairie:in Paddle Prairie:::
347818:3232:151::Peerless Lake:Peerless Lake:in Peerless Lake:::
347819:3232:151::Rainbow Lake:Rainbow Lake:in Rainbow Lake:::
347820:3232:151::Smith:Smith:in Smith:::
347821:3232:151::St. Isidore:St. Isidore:in St. Isidore:::
347822:3232:151::Sunset House:Sunset House:in Sunset House:::
347823:3232:151::Swan Hills:Swan Hills:in Swan Hills:::
347824:3232:151::Trout Lake:Trout Lake:in Trout Lake:::
347825:3232:151::Wabasca:Wabasca:in Wabasca:::
347826:3232:151::Widewater:Widewater:in Widewater:::
347827:3232:151::Worsley:Worsley:in Worsley:::
347828:3232:151::Zama City:Zama City:in Zama City:::
347829:3232:151::Airdrie:Airdrie:in Airdrie:::
347830:3232:151::Compeer:Compeer:in Compeer:::
347831:3229:151::100 Mile House:100 Mile House:in 100 Mile House:::
347832:3229:151::108 Mile Ranch:108 Mile Ranch:in 108 Mile Ranch:::
347833:3229:151::150 Mile House:150 Mile House:in 150 Mile House:::
347834:3229:151::Alexis Creek:Alexis Creek:in Alexis Creek:::
347835:3229:151::Alkali Lake:Alkali Lake:in Alkali Lake:::
347836:3229:151::Anahim Lake:Anahim Lake:in Anahim Lake:::
347837:3229:151::Barkerville:Barkerville:in Barkerville:::
347838:3229:151::Big Lake Ranch:Big Lake Ranch:in Big Lake Ranch:::
347839:3229:151::Bridge Lake:Bridge Lake:in Bridge Lake:::
347840:3229:151::Buffalo Creek:Buffalo Creek:in Buffalo Creek:::
347841:3229:151::Canim Lake:Canim Lake:in Canim Lake:::
347842:3229:151::Chilanko Forks:Chilanko Forks:in Chilanko Forks:::
347843:3229:151::Dog Creek:Dog Creek:in Dog Creek:::
347844:3229:151::Eagle Creek:Eagle Creek:in Eagle Creek:::
347845:3229:151::Forest Grove:Forest Grove:in Forest Grove:::
347846:3229:151::Gang Ranch:Gang Ranch:in Gang Ranch:::
347847:3229:151::Hanceville:Hanceville:in Hanceville:::
347848:3229:151::Hixon:Hixon:in Hixon:::
347849:3229:151::Horsefly:Horsefly:in Horsefly:::
347850:3229:151::Kleena Kleene:Kleena Kleene:in Kleena Kleene:::
347851:3229:151::Lac La Hache:Lac La Hache:in Lac La Hache:::
347852:3229:151::Likely:Likely:in Likely:::
347853:3229:151::Lone Butte:Lone Butte:in Lone Butte:::
347854:3229:151::McLeese Lake:McLeese Lake:in McLeese Lake:::
