point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
100107:73:3:4::::Назарьево:Назарьево:в Назарьево
100108:73:3:4::::Хлопово:Хлопово:в Хлопово
100109:73:3:4::::Алферьево:Алферьево:в Алферьево
100110:73:3:4::::Александровка:Александровка:в Александровке
100111:73:3:4::::Невежино:Невежино:в Невежино
100112:73:3:4::::Титеево:Титеево:в Титеево
100113:73:3:4::::Петрово:Петрово:в Петрово
100114:73:3:4::::Кузьминка:Кузьминка:в Кузьминке
100115:73:3:4::::Малое Орехово:Малое Орехово:в Малом Орехово
100116:73:3:4::::Красный Пахарь:Красный Пахарь:в Красном Пахаре
100117:73:3:4::::Большое Орехово:Большое Орехово:в Большом Орехово
100118:73:3:4::::Столбовка:Столбовка:в Столбовке
100119:73:3:4::::Беляево:Беляево:в Беляево
100120:73:3:4::::Малое Ильинское:Малое Ильинское:в Малом Ильинском
100121:73:3:4::::Мещерский Бор:Мещерский Бор:в Мещерском Бору
100122:73:3:4::::Волово:Волово:в Волово
100123:73:3:4::::Лека:Лека:в Леке
100124:73:3:4::::Старо-Черкасово:Старо-Черкасово:в Старочеркасово
100125:73:3:4::::Погостище:Погостище:в Погостище
100126:73:3:4::::Дорофеево:Дорофеево:в Дорофеево
100127:58:3:4::::Климково:Климково:в Климково
100128:73:3:4::::Чисома:Чисома:в Чисоме
100129:73:3:4::::Филимакино:Филимакино:в Филимакино
100130:73:3:4::::Пышлицы:Пышлицы:в Пышлицах
100131:73:3:4::::Высокорево:Высокорево:в Высокорево
100132:73:3:4::::Высоково:Высоково:в Высоково
100133:73:3:4::::Демино:Демино:в Демино
100134:73:3:4::::Горелово:Горелово:в Горелово
100135:73:3:4::::Воропино:Воропино:в Воропино
100136:73:3:4::::Селянино:Селянино:в Селянино
100137:73:3:4::::Дубасово:Дубасово:в Дубасово
100138:73:3:4::::Евлево:Евлево:в Евлево
