point_id:region_id:country_id:gmt_add:point_name_en:point_name_trim_en:point_name2_en:point_name_ru:point_name_trim_ru:point_name2_ru
150086:132:4:2::::Калиново:Калиново:в Калиново
150087:132:4:2::::Мирное:Мирное:в Мирном
150088:132:4:2::::Парноватое:Парноватое:в Парноватом
150089:132:4:2::::Ясиноватое:Ясиноватое:в Ясиноватом
150090:132:4:2::::Чернещина:Чернещина:в Чернещине
150091:132:4:2::::Пролетарское:Пролетарское:в Пролетарском
150092:132:4:2::::Рассоховка:Рассоховка:в Рассоховке
150093:132:4:2::::Золочевское (Старомерчикский поссовет):Золочевское:в Золочевском
150094:132:4:2::::Бараново:Бараново:в Бараново
150095:132:4:2::::Благодатное:Благодатное:в Благодатном
150096:132:4:2::::Новоселовка:Новоселовка:в Новоселовке
150097:132:4:2::::Круглик:Круглик:в Круглике
150098:132:4:2::::Бугаевка:Бугаевка:в Бугаевке
150099:132:4:2::::Малая Кадыгробовка:Малая Кадыгробовка:в Малой Кадыгробовке
150100:132:4:2::::Довжик:Довжик:в Довжике
150101:132:4:2::::Катричовка:Катричовка:в Катричовке
150102:132:4:2::::Казаченковка:Казаченковка:в Казаченковке
150103:132:4:2::::Гузовка:Гузовка:в Гузовке
150104:132:4:2::::Великая Губщина:Великая Губщина:в Великой Губщине
150105:132:4:2::::Вишневое:Вишневое:в Вишневом
150106:132:4:2::::Михайловка:Михайловка:в Михайловке
150107:132:4:2::::Нестеренки:Нестеренки:в Нестеренках
150108:132:4:2::::Великая Кадыгробовка:Великая Кадыгробовка:в Великой Кадыгробовке
150109:132:4:2::::Александровка:Александровка:в Александровке
150110:132:4:2::::Корсуново:Корсуново:в Корсуново
150111:132:4:2::::Редкодуб:Редкодуб:в Редкодубе
150112:132:4:2::::Сосновка:Сосновка:в Сосновке
150113:132:4:2::::Завгороднее:Завгороднее:в Завгороднем
150114:132:4:2::::Кантакузовка:Кантакузовка:в Кантакузовке
150115:132:4:2::::Литвиновка:Литвиновка:в Литвиновке
150116:132:4:2::::Пески:Пески:в Песках
150117:132:4:2::::Шаровка:Шаровка:в Шаровке
150118:132:4:2::::Пасечное:Пасечное:в Пасечном
150119:132:4:2::::Шевченково:Шевченково:в Шевченково
150120:132:4:2::::Буряковка:Буряковка:в Буряковке
150121:132:4:2::::Голубовка:Голубовка:в Голубовке
150122:132:4:2::::Горяное:Горяное:в Горяном
150123:132:4:2::::Замост:Замост:в Замосте
150124:132:4:2::::Каневцево:Каневцево:в Каневцево
